Answers - Predictions = Differences
16.9 - 5.04288810135 = 11.8571118986
18.0 - 12.9968149025 = 5.0031850975
6.5 - 6.07273566521 = 0.42726433479
8.2 - 4.07679566404 = 4.12320433596
19.5 - 14.0034509877 = 5.4965490123
13.4 - 8.03814796092 = 5.36185203908
18.8 - 9.0197340639 = 9.7802659361
20.6 - 18.9712929119 = 1.6287070881
9.3 - 1.08554623191 = 8.21445376809
24.5 - 19.945406204 = 4.554593796
31.0 - 19.9397718968 = 11.0602281032
24.1 - 19.9555787305 = 4.1444212695
29.8 - 16.9442872873 = 12.8557127127
15.2 - 5.04620402688 = 10.1537959731
15.6 - 14.0113935505 = 1.5886064495
13.3 - 11.0324784426 = 2.2675215574
18.1 - 13.0113791902 = 5.0886208098
30.7 - 19.9416988185 = 10.7583011815
26.6 - 13.9654504714 = 12.6345495286
21.0 - 11.9897873572 = 9.0102126428
22.8 - 16.979744672 = 5.820255328
11.5 - 7.05308934839 = 4.44691065161
15.9 - 4.04064377747 = 11.8593562225
12.4 - 8.03506691142 = 4.36493308858
17.1 - 8.01818424193 = 9.08181575807
27.1 - 18.9428487121 = 8.1571512879
24.6 - 17.9673464161 = 6.6326535839
17.8 - 7.02973141187 = 10.7702685881
16.7 - 5.03086694522 = 11.6691330548
7.5 - 5.07095096722 = 2.42904903278
14.2 - 11.0266976774 = 3.1733023226
10.2 - 3.05528212308 = 7.14471787692
20.3 - 11.0141284772 = 9.2858715228
24.7 - 15.977881682 = 8.722118318
15.3 - 8.03544824529 = 7.26455175471
26.4 - 15.9631608102 = 10.4368391898
11.3 - 3.06152251409 = 8.23847748591
20.9 - 19.9742317377 = 0.9257682623
20.0 - 13.0029770015 = 6.9970229985
13.2 - 3.06452527158 = 10.1354747284
18.2 - 18.9867082855 = -0.7867082855
23.3 - 8.99653271139 = 14.3034672886
8.6 - 7.06411296075 = 1.53588703925
25.7 - 14.9703945109 = 10.7296054891
17.5 - 16.0013179105 = 1.4986820895
25.3 - 18.9601127155 = 6.3398872845
5.8 - 4.08080609148 = 1.71919390852
24.3 - 15.9709467891 = 8.3290532109
25.4 - 16.9592430351 = 8.4407569649
18.4 - 6.03241676719 = 12.3675832328
26.8 - 16.9635565044 = 9.8364434956
19.7 - 14.9804205795 = 4.7195794205
13.2 - 7.04977342287 = 6.15022657713
12.4 - 4.05552123325 = 8.34447876675
17.4 - 7.02279651896 = 10.377203481
25.6 - 16.9655617181 = 8.6344382819
14.3 - 13.0167786215 = 1.2832213785
24.3 - 19.9618974135 = 4.3381025865
13.8 - 10.0320044564 = 3.7679955436
15.6 - 10.0318478723 = 5.5681521277
10.4 - 5.05992735486 = 5.34007264514
24.8 - 11.9786854529 = 12.8213145471
17.1 - 14.0074614151 = 3.0925385849
24.7 - 15.9835841551 = 8.7164158449
26.5 - 19.9401633568 = 6.5598366432
13.9 - 12.0220854004 = 1.8779145996
25.2 - 18.9683583202 = 6.2316416798
13.9 - 1.06550422091 = 12.8344957791
21.3 - 8.00831475736 = 13.2916852426
21.7 - 13.9874194041 = 7.7125805959
14.9 - 1.05147785106 = 13.8485221489
15.3 - 11.0215331222 = 4.2784668778
30.3 - 18.9413031243 = 11.3586968757
19.8 - 13.0080632647 = 6.7919367353
12.3 - 5.05152516612 = 7.24847483388
19.7 - 11.0008749013 = 8.6991250987
7.1 - 2.07793119739 = 5.02206880261
13.6 - 12.0240123221 = 1.5759876779
6.5 - 2.08178504081 = 4.41821495919
16.1 - 11.0125930156 = 5.0874069844
19.4 - 9.01017774737 = 10.3898222526
24.5 - 16.9593213271 = 7.5406786729
24.3 - 18.9513291929 = 5.3486708071
11.6 - 4.05875886676 = 7.54124113324
27.6 - 19.9578086941 = 7.6421913059
21.4 - 11.9967222502 = 9.4032777498
18.0 - 14.9951414512 = 3.0048585488
20.1 - 11.9955681224 = 8.1044318776
21.9 - 13.9994405602 = 7.9005594398
22.6 - 19.965213339 = 2.634786661
18.8 - 12.0058189408 = 6.7941810592
23.1 - 15.9672495297 = 7.1327504703
7.9 - 1.07553028949 = 6.82446971051
15.8 - 10.0153566629 = 5.7846433371
20.4 - 12.9871020019 = 7.4128979981
27.1 - 15.9624663083 = 11.1375336917
16.9 - 15.9994692808 = 0.9005307192
29.3 - 19.9373853492 = 9.3626146508
19.2 - 15.998001985 = 3.201998015
11.3 - 4.05498331535 = 7.24501668465
18.3 - 10.0259105232 = 8.2740894768
12.8 - 13.02641323 = -0.22641323
29.7 - 17.9459936933 = 11.7540063067
14.2 - 10.0218319299 = 4.1781680701
15.6 - 11.0196062005 = 4.5803937995
4.1 - 1.09803714009 = 3.00196285991
23.4 - 11.9857769298 = 11.4142230702
24.7 - 13.9852576064 = 10.7147423936
16.9 - 13.0133844039 = 3.8866155961
9.6 - 1.0836193102 = 8.5163806898
20.6 - 12.9991231581 = 7.6008768419
20.2 - 11.0052666626 = 9.1947333374
10.5 - 3.07616509384 = 7.42383490616
14.4 - 5.05514413351 = 9.34485586649
11.1 - 3.07231125042 = 8.02768874958
32.2 - 17.9337376612 = 14.2662623388
8.0 - 5.06393778229 = 2.93606221771
22.4 - 16.967107306 = 5.432892694
15.7 - 9.03014146636 = 6.66985853364
21.8 - 11.9922521968 = 9.8077478032
11.2 - 3.0640656457 = 8.1359343543
22.0 - 19.9633647093 = 2.0366352907
21.5 - 14.9916689417 = 6.5083310583
17.3 - 12.0040486031 = 5.2959513969
10.0 - 3.07747580565 = 6.92252419435
12.8 - 7.03143358372 = 5.76856641628
12.9 - 7.04599787146 = 5.85400212854
21.2 - 18.9731415416 = 2.2268584584
11.7 - 4.05621573515 = 7.64378426485
22.8 - 15.9862838707 = 6.8137161293
26.9 - 14.9683892972 = 11.9316107028
15.3 - 4.050200094 = 11.249799906
13.9 - 6.03851070035 = 7.86148929965
22.3 - 16.9753529107 = 5.3246470893
20.0 - 9.99978470522 = 10.0002152948
23.5 - 8.99714892129 = 14.5028510787
21.7 - 11.0013345272 = 10.6986654728
24.9 - 15.9784978919 = 8.9215021081
18.3 - 14.0054562014 = 4.2945437986
16.0 - 16.005250046 = -0.005250046
10.1 - 8.04793915348 = 2.05206084652
19.0 - 7.02202372504 = 11.977976275
10.6 - 2.06305374162 = 8.53694625838
21.3 - 15.9788110599 = 5.3211889401
15.6 - 12.0130670018 = 3.5869329982
26.7 - 13.9686098129 = 12.7313901871
