Answers - Predictions = Differences
11.7 - 5.61781003786 = 6.08218996214
12.0 - 13.2556686764 = -1.2556686764
10.3 - 10.5097668296 = -0.2097668296
14.1 - 12.5739780445 = 1.5260219555
23.8 - 19.5440910373 = 4.2559089627
20.2 - 14.2502745848 = 5.9497254152
15.8 - 12.114698413 = 3.685301587
17.7 - 16.3519854988 = 1.3480145012
8.9 - 6.98378846821 = 1.91621153179
12.0 - 4.89558801717 = 7.10441198283
9.2 - 8.00879342147 = 1.19120657853
12.8 - 8.40805591565 = 4.39194408435
20.5 - 18.5383155102 = 1.9616844898
19.0 - 17.3705806433 = 1.6294193567
13.7 - 7.52578087611 = 6.17421912389
12.5 - 5.83831471718 = 6.66168528282
5.7 - 4.99094221018 = 0.70905778982
10.9 - 10.6100590334 = 0.2899409666
7.3 - 3.65579734789 = 3.64420265211
15.9 - 11.0408459411 = 4.8591540589
19.2 - 15.6567844039 = 3.5432155961
11.8 - 8.15412050173 = 3.64587949827
20.2 - 15.8817925709 = 4.3182074291
8.5 - 3.65389102679 = 4.84610897321
16.2 - 18.7365590736 = -2.5365590736
15.5 - 12.7501386928 = 2.7498613072
10.3 - 3.72334966255 = 6.57665033745
14.1 - 17.6710227316 = -3.5710227316
17.7 - 9.73913181345 = 7.96086818655
6.7 - 6.73175937539 = -0.03175937539
19.7 - 14.9679931178 = 4.7320068822
13.6 - 15.0678507985 = -1.4678507985
19.5 - 18.2843800963 = 1.2156199037
4.4 - 4.00127431263 = 0.39872568737
18.6 - 15.7011284349 = 2.8988715651
19.3 - 16.6772858695 = 2.6227141305
14.2 - 6.72128060216 = 7.47871939784
20.7 - 16.708810283 = 3.991189717
14.7 - 14.5661334571 = 0.1338665429
10.3 - 7.10209462261 = 3.19790537739
9.4 - 4.57669745513 = 4.82330254487
13.1 - 7.5701249071 = 5.5298750929
19.7 - 16.6284383509 = 3.0715616491
10.9 - 12.3283587604 = -1.4283587604
18.8 - 19.0265223887 = -0.2265223887
10.6 - 9.729690315 = 0.870309685
12.2 - 9.82357271008 = 2.37642728992
7.9 - 5.242971303 = 2.657028697
18.8 - 12.4136687034 = 6.3863312966
13.2 - 13.3694713432 = -0.1694713432
19.4 - 15.6034333976 = 3.7965666024
20.0 - 19.3428157842 = 0.6571842158
10.6 - 11.447990042 = -0.847990042
19.7 - 18.2021018431 = 1.4978981569
10.7 - 2.1297658987 = 8.5702341013
16.2 - 8.7160331813 = 7.4839668187
16.6 - 13.7931575967 = 2.8068424033
11.1 - 2.31233635576 = 8.78766364424
11.7 - 10.7148547249 = 0.9851452751
23.3 - 18.7170733251 = 4.5829266749
15.5 - 12.6922841989 = 2.8077158011
9.3 - 5.41913195132 = 3.88086804868
14.9 - 11.1340374908 = 3.7659625092
5.2 - 2.47455201799 = 2.72544798201
10.4 - 11.4145593074 = -1.0145593074
4.8 - 2.40769054878 = 2.39230945122
12.1 - 10.839570688 = 1.260429312
14.7 - 9.41123427613 = 5.28876572387
18.5 - 16.630344672 = 1.869655328
18.3 - 18.3152136644 = -0.0152136644
8.8 - 4.50533249827 = 4.29466750173
21.6 - 19.2342074505 = 2.3657925495
16.4 - 12.070354382 = 4.329645618
13.7 - 14.3411252901 = -0.6411252901
15.2 - 12.0144062092 = 3.1855937908
17.2 - 13.6909590717 = 3.5090409283
17.4 - 18.9082162343 = -1.5082162343
14.4 - 11.8517560238 = 2.5482439762
17.4 - 15.674107509 = 1.725892491
5.7 - 1.72790623797 = 3.97209376203
11.8 - 9.98812921657 = 1.81187078343
15.3 - 12.919198687 = 2.380801313
20.8 - 15.9242302808 = 4.8757697192
13.0 - 15.0543403356 = -2.0543403356
22.4 - 19.5125666238 = 2.8874333762
15.0 - 15.1861569529 = -0.1861569529
8.4 - 4.52525276995 = 3.87474723005
14.4 - 10.017747309 = 4.382252691
9.9 - 12.1612050874 = -2.2612050874
22.8 - 17.832201119 = 4.967798881
10.6 - 9.84539930285 = 0.75460069715
11.9 - 10.7482854595 = 1.1517145405
3.1 - 1.32223393505 = 1.77776606495
17.8 - 12.2754422773 = 5.5245577227
19.2 - 13.9674119239 = 5.2325880761
13.1 - 12.4936061124 = 0.6063938876
7.5 - 1.73951037981 = 5.76048962019
15.9 - 12.817000162 = 3.082999838
15.5 - 11.1186207067 = 4.3813792933
8.3 - 3.47582405737 = 4.82417594263
11.3 - 5.49309407472 = 5.80690592528
8.7 - 3.54268552659 = 5.15731447341
24.6 - 18.0752232365 = 6.5247767635
5.9 - 5.08222743871 = 0.81777256129
16.9 - 16.449680536 = 0.450319464
12.1 - 9.03448922017 = 3.06551077983
16.6 - 12.1327123636 = 4.4672876364
8.5 - 3.62496377983 = 4.87503622017
16.8 - 18.8947057714 = -2.0947057714
16.7 - 14.5533138396 = 2.1466861604
13.0 - 11.7913043633 = 1.2086956367
7.9 - 3.43788983512 = 4.46211016488
9.3 - 7.25314066616 = 2.04685933384
9.9 - 7.12201489428 = 2.77798510572
16.3 - 17.9519790713 = -1.6519790713
8.8 - 4.53425974524 = 4.26574025476
17.8 - 15.4806237556 = 2.3193762444
20.7 - 15.04836505 = 5.65163495
11.8 - 4.77537554167 = 7.02462445833
10.4 - 6.43322360819 = 3.96677639181
17.1 - 16.3674022828 = 0.7325977172
15.0 - 10.3494574885 = 4.6505425115
17.9 - 9.7436353011 = 8.1563646989
16.7 - 11.2324233735 = 5.4675766265
19.4 - 15.6612878916 = 3.7387121084
14.2 - 13.4498432753 = 0.7501567247
12.4 - 14.9540481317 = -2.5540481317
7.6 - 7.77027479158 = -0.17027479158
14.5 - 7.65950381453 = 6.84049618547
7.8 - 2.79344258003 = 5.00655741997
16.2 - 15.4735231014 = 0.7264768986
11.8 - 11.6196472027 = 0.1803527973
20.4 - 14.2258508255 = 6.1741491745
